competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo
202002;3;35;355030;Q;8630504;1;514320;101;7;26;40;3;3;0;1;20;0;0;0;1183.83;1;0;1;202011;202202;1;1
202002;5;51;510340;C;2330302;1;823320;101;6;26;44;1;1;0;1;20;0;0;0;1200;1;0;1;202003;202202;1;1
202002;3;35;355030;A;133408;1;643010;101;2;46;44;2;1;2;3;20;0;0;0;1130.12;99;0;1;202002;202202;1;0
202002;3;35;354520;F;4211102;-1;992205;101;7;31;44;1;1;0;1;31;0;0;0;2987;5;0;1;202003;202202;1;1
202002;3;31;315690;C;2512800;-1;724440;101;7;27;52;3;1;0;1;32;0;0;0;1045;2;0;1;202002;202202;1;0
202002;4;41;410690;G;4756300;1;252105;111;7;34;0;1;3;0;1;20;0;1;0;10483;2;0;1;202003;202202;1;1
202002;2;23;230440;I;5590603;1;422105;101;7;36;44;3;1;0;1;20;0;0;0;1045;4;0;1;202003;202202;1;1
202002;2;29;293210;Q;8610102;1;411010;101;7;28;40;2;1;0;1;20;0;0;0;1045;9;0;1;202002;202202;1;0
202002;3;32;320503;C;2093200;1;823130;101;7;33;44;1;1;0;1;20;0;0;0;1500;2;0;1;202002;202202;1;0
202002;3;33;330190;G;4511104;-1;517420;101;7;60;36;3;1;0;1;32;0;0;0;1367;5;0;1;202002;202202;1;0
202002;3;31;314930;F;4120400;1;717020;111;4;29;0;3;1;0;1;20;0;1;9;1143.9;1;0;1;202002;202202;1;0
202002;3;35;355030;I;5620101;1;223710;101;9;23;44;3;3;0;1;20;0;0;0;2636.18;7;0;1;202003;202202;1;1
202002;3;31;310620;S;9511800;1;731325;101;7;33;52;1;1;0;1;20;0;0;0;1588;3;0;1;202002;202202;1;0
202002;1;15;150140;G;4755502;1;514225;101;7;20;44;6;1;0;1;20;0;0;0;1045;3;0;1;202004;202202;1;1
202002;4;43;430535;P;8520100;1;231210;101;9;23;3;6;3;0;1;20;0;0;0;255.75;5;0;1;202002;202202;1;0
202002;1;11;110028;N;8211300;-1;514320;101;7;38;44;6;3;0;1;31;0;0;0;1144.91;10;0;1;202002;202202;1;0
202002;4;41;410830;C;1091102;1;848305;101;7;25;44;1;1;0;1;20;0;0;0;1737;1;0;1;202002;202202;1;0
202002;3;35;355030;G;4729699;1;411005;101;7;21;22;1;3;0;1;20;0;0;0;800;4;0;1;202002;202202;1;0
202002;4;41;410830;C;1091102;1;513505;101;7;36;44;1;1;0;1;20;0;0;0;1737;1;0;1;202002;202202;1;0
202002;2;23;230730;G;4781400;1;521110;101;7;30;44;3;3;0;1;20;0;0;0;1091;3;0;1;202002;202202;1;0
202002;3;35;355030;F;4120400;-1;715210;101;5;38;44;3;1;0;1;31;0;0;0;1752.8;7;0;1;202007;202202;1;1
202002;3;35;355030;F;4299599;1;717020;101;7;19;44;1;1;0;1;20;0;0;0;1513.92;3;0;1;202002;202202;1;0
202002;3;35;355030;F;4120400;-1;715210;101;3;50;44;3;1;0;1;31;0;0;0;1752.8;7;0;1;202007;202202;1;1
202002;5;53;530010;G;4783101;1;422105;101;7;25;44;6;1;0;1;20;0;0;0;1170;1;0;1;202010;202202;1;1
202002;3;35;355030;N;7719599;1;515135;101;7;30;44;3;1;0;1;20;0;0;0;1462.42;3;0;1;202002;202202;1;0
202002;3;31;314930;F;4120400;1;717020;111;6;34;0;3;1;0;1;20;0;1;9;1143.9;1;0;1;202002;202202;1;0
202002;3;33;330455;H;4930201;1;517420;101;7;27;44;3;1;0;1;20;0;0;0;1130;2;0;1;202002;202202;1;0
202002;2;29;292740;F;4211101;1;414205;101;7;51;44;3;1;0;1;20;0;0;0;1841.4;7;0;1;202002;202202;1;0
202002;5;50;500270;C;2099199;1;813125;101;7;39;44;3;1;0;1;20;0;0;0;1500;1;0;1;202002;202202;1;0
202002;3;35;355030;A;111399;1;622505;102;6;18;44;3;1;2;3;20;0;0;0;1264.52;99;0;1;202002;202202;1;0
202002;3;35;355030;F;4120400;-1;715210;101;5;47;44;3;1;0;1;31;0;0;0;1752.8;7;0;1;202007;202202;1;1
202002;1;17;170930;N;8211300;-1;415105;111;7;19;44;3;1;0;1;40;0;1;0;1540;7;0;1;202005;202202;1;1
202002;4;41;410830;C;1091102;1;513505;101;7;30;44;1;1;0;1;20;0;0;0;1335;1;0;1;202002;202202;1;0
202002;2;26;260345;Q;8610101;1;521130;101;7;35;36;6;1;0;1;20;0;0;0;1200;1;0;1;202012;202202;1;1
202002;3;35;355620;N;8011101;-1;514320;101;5;62;44;1;3;0;1;32;0;0;0;1160.68;9;0;1;202003;202202;1;1
